idx,file,slug,title,kind,version,size_bytes,sha256,summary,verification,next
0,PPscaffold.txt,podcast-pipeline-phase1-mediator-packet,Podcast Pipeline mediator packet / architecture baseline context,context packet,Podcast Pipeline Planning,20068,4e1c74b68dc3e4106df24ce0f085d025e780fc0a7183edbc881be4a3aa65ef58,Preserves the Podcast Pipeline planning context that caused RoundTable to become necessary. It captures Phase 0/Phase 1 decisions and the Phase 2 scaffold direction.,Text artifact; not a buildable app artifact.,01-roundtable-v105-baseline
1,rt-v105.zip,roundtable-v105-baseline,RoundTable v0.10.5 baseline,source checkpoint,v0.10.5,216523,a8d52bce07d808355632fd2bb3ce456c252cb478e148bf0fb9d01c71fbefc072,Baseline RoundTable app before Markdown Handoff Mode. This is the pre-v0.11.0 state used as the implementation starting point.,Baseline source artifact; later checkpoints were built from this lineage.,02-v011-markdown-handoff-feasibility
2,v0.11.0-markdown-handoff-feasibility.md,v011-markdown-handoff-feasibility,v0.11.0 Markdown Handoff feasibility / phase plan,planning document,v0.11.0 plan,33637,8e08a58a1cd9f67e52cb86dbeaf2c7e7fb5e3f17daa84138db25fa5f110589b6,Controls the v0.11.0 feature release. Reframes RoundTable as the authoritative local state manager and Markdown files as durable handoff artifacts.,Planning document; used as controlling implementation plan throughout checkpoints A-I.,03-v110-checkpoint-a-foundation
3,rt-v110-checkpoint.zip,v110-checkpoint-a-foundation,Checkpoint A — v0.11.0 foundation layer,source checkpoint,v0.11.0 Checkpoint A,260423,f2cf7d38f70fe867de49616b5b951e20591779552f8385cee6d695defe1e919d,"Foundation implementation for Markdown Handoff Mode. Adds types, config, hashing/normalization/parsing utilities, migration/validation, artifact import foundations, and storage pressure utilities.",Build/typecheck verified clean during this chat; used as base for Checkpoint B.,04-checkpoint-b-ui-shell
4,roundtable-v0.11.0-checkpoint-B-ui-shell.zip,checkpoint-b-ui-shell,Checkpoint B — UI shell integration,source checkpoint,v0.11.0 Checkpoint B,275373,41911e6dab0eb4b986518567fa7e1c1d2124c3fdd561ba005d2ef913920fa0b1,"Adds UI panels and tab routing for Raw Notes, Import History, and Import Preview without wiring import/export behavior yet.","Independently verified in chat: npm install, tsc, production build clean.",05-checkpoint-c-download-export
5,roundtable-v0.11.0-checkpoint-C-download-export.zip,checkpoint-c-download-export,Checkpoint C — Download .md export controls,source checkpoint,v0.11.0 Checkpoint C,277780,16f4362020fa1b26de181c3826ede15aa9348509eff8c7fb2744b47bc1a742b3,Adds one-way Markdown artifact export controls across prompt/response/mediator surfaces.,Independently verified in chat: typecheck/build clean.,06-checkpoint-c5-provenance-storage
6,roundtable-v0.11.0-checkpoint-C5-provenance-storage.zip,checkpoint-c5-provenance-storage,Checkpoint C.5 — provenance capture + storage pressure surfacing,source checkpoint,v0.11.0 Checkpoint C.5,280854,baa085c6e1816620be89510d1f7a5a431b67db5387c050acc8d29a1fd9d19ef5,Closes export-provenance and storage-warning gaps before upload/import work begins.,Independently verified in chat: typecheck/build clean.,07-checkpoint-d-upload-preview-rawnotes
7,roundtable-v0.11.0-checkpoint-D-upload-preview-rawnotes.zip,checkpoint-d-upload-preview-rawnotes,Checkpoint D — Upload .md preview + Raw Notes fallback,source checkpoint,v0.11.0 Checkpoint D,288751,f1b98af7b7697fbbfeca9964c7b30b089c9226d97dd5d30263fd62f473a81b34,Adds safe inbound Markdown handling without structured state mutation. Uploaded Markdown can be previewed and preserved as Raw Notes.,Independently verified in chat: typecheck/build clean.,08-checkpoint-e-mediator-synthesis-import
8,roundtable-v0.11.0-checkpoint-E-mediator-synthesis-import.zip,checkpoint-e-mediator-synthesis-import,Checkpoint E — mediator_synthesis structured import,source checkpoint,v0.11.0 Checkpoint E,293212,a434b4c339aaf381725322185b356e67efa2b38503a6df274d873c1477cf9af4,First structured import commit path. Valid mediator_synthesis Markdown can populate structured mediator synthesis fields and rollback safely.,Independently verified in chat: typecheck/build clean.,09-checkpoint-f-import-correctness
9,roundtable-v0.11.0-checkpoint-F-import-correctness.zip,checkpoint-f-import-correctness,Checkpoint F — import correctness hardening,source checkpoint,v0.11.0 Checkpoint F,293153,59628413055d1fc8ca06465bfe736372279ced28e20b69b87511bc1eb5814f86,Fixes two importer correctness false positives before expanding structured import types.,Independently verified in chat: typecheck/build clean.,10-checkpoint-g-model-response-import
10,roundtable-v0.11.0-checkpoint-G-model-response-import.zip,checkpoint-g-model-response-import,Checkpoint G — model_response structured import + per-slot upload,source checkpoint,v0.11.0 Checkpoint G,301673,56e0a8d1eeef1c19f67f3d5dc3af24712ea2ab0d429334c3aad5a710fa740f17,Adds structured import for model_response artifacts and per-slot Upload .md controls in Responses.,Independently verified in chat: typecheck/build clean.,11-checkpoint-h-remaining-structured-imports
11,roundtable-v0.11.0-checkpoint-H-remaining-structured-imports.zip,checkpoint-h-remaining-structured-imports,Checkpoint H — remaining structured imports + truncation warning fix,source checkpoint,v0.11.0 Checkpoint H,303352,a9632134a3660e92f376336c583434a9afb12e328d28f2a8c8bd5baf0a4bc439,Completes the remaining core structured import source kinds and fixes the POTENTIALLY_TRUNCATED false positive.,Independently verified in chat: typecheck/build clean.,12-checkpoint-i-rc-hardening-docs
12,roundtable-v0.11.0-checkpoint-I-rc-hardening-docs.zip,checkpoint-i-rc-hardening-docs,Checkpoint I — v0.11.0 RC hardening + docs + acceptance walk,source checkpoint,v0.11.0 Checkpoint I / RC,340458,9da0ad2c548631f6dd958eb3f118f8fd5b0b47c765009d179520361ba8698ffe,"Converts v0.11.0 from feature-complete to release-candidate ready with docs, checklist, acceptance walk, and a small Raw Notes delete UI.","Independently verified in chat: typecheck/build clean; acceptance walk 15 pass, 0 partial, 0 fail; no app-owned network surfaces.",13-pwa-readiness-doc
13,roundtable-v0.11.0-pwa-readiness-doc.zip,pwa-readiness-doc,PWA readiness assessment document,planning document/source checkpoint,v0.11.0 planning after RC,356457,1c3d35db4cd297958165eb8811be6bd2dd346a1b7f994feed496be699d66e4f9,Adds docs/PWA_READINESS.md as a planning-only assessment for the v0.12 PWA track.,Independently verified in chat: typecheck/build clean; document exists and is planning-only.,14-checkpoint-j-modal-system
14,roundtable-v0.12.0-checkpoint-J-modal-system.zip,checkpoint-j-modal-system,Checkpoint J — modal system replacement,source checkpoint,v0.12.0 Checkpoint J,372441,dc93f1258107e82e2cfac2712dd31ebb45711c7f790f99cb0759c66205b2f3bc,First v0.12 prep checkpoint. Replaces browser-native confirm/alert/prompt with RoundTable-styled modal APIs.,Independently verified in chat: typecheck/build clean; acceptance walk 15/15; no runtime native dialog calls remain.,15-checkpoint-k-pwa-implementation
15,roundtable-v0.12.0-checkpoint-K-pwa-implementation-bundle.zip,checkpoint-k-pwa-implementation,Checkpoint K — PWA implementation bundle,source checkpoint,v0.12.0 Checkpoint K,475394,852ed9c002a84ce9f4cd27a0fc334ca9b704fb68310f8b9e32348f8ba3cf55b1,"Adds installable/offline-capable PWA shell for static HTTPS hosting, with Netlify as first deployment target.","Independently verified in chat: typecheck/build clean; acceptance walk 15/15; dist emits manifest, sw.js, workbox runtime, icons; no app-owned network calls.",Hosted PWA validation on Netlify
